Capacity,Episode,Econ_Reward,Days_Failed,Deaths,Lambda
500,1,178.27527622580527,40.0,69,0.030099999999999884
500,2,197.11785014867783,0.0,33,0.010100000000000005
500,3,197.7364364981651,41.0,65,0.031099999999999836
500,4,197.3342903971672,36.0,69,0.047099999999999594
500,5,197.54137091636656,0.0,0,0.027099999999999166
500,6,197.03574329614642,42.0,61,0.04909999999999901
500,7,198.09131556749347,40.0,64,0.06909999999999848
500,8,197.34016071558,0.0,0,0.04909999999999791
500,9,197.7678686618805,40.0,78,0.06909999999999737
500,10,197.66714563369754,41.0,71,0.09009999999999684
500,11,197.78574815988532,45.0,79,0.1150999999999963
500,12,197.5414258122444,40.0,69,0.13509999999999742
500,13,197.55666007995617,43.0,79,0.15809999999999966
500,14,197.55854806900027,40.0,70,0.1781000000000019
500,15,198.00306985378262,37.0,49,0.19510000000000413
500,16,198.0197795152664,41.0,67,0.21610000000000637
500,17,197.57209447622296,45.0,61,0.2411000000000086
500,18,197.56064419746397,36.0,65,0.2571000000000108
500,19,197.64317240715022,44.0,75,0.28110000000001306
500,20,197.20722174644473,41.0,79,0.3021000000000153
500,21,197.73803749084473,42.0,77,0.32410000000001754
500,22,197.86000082492828,42.0,62,0.3461000000000198
500,23,197.81676572561258,42.0,64,0.368100000000022
500,24,197.38986684083935,39.0,62,0.38710000000002426
500,25,197.58371512889872,41.0,82,0.4081000000000265
500,26,197.21537991762165,42.0,74,0.43010000000002874
500,27,197.71852517128,42.0,62,0.452100000000031
500,28,197.81566541194908,41.0,79,0.4731000000000332
500,29,197.77322299480429,0.0,0,0.4531000000000354
500,30,197.79320609569552,42.0,56,0.47510000000003766
500,31,197.67721375226975,35.0,60,0.4901000000000399
500,32,197.6722092151642,44.0,62,0.5141000000000421
500,33,197.79681448936464,44.0,72,0.5381000000000443
500,34,197.78759723901746,41.0,75,0.5591000000000466
500,35,197.22805639505384,40.0,66,0.5791000000000488
500,36,197.4401967048645,27.0,48,0.586100000000051
500,37,197.6471353888512,39.0,72,0.6051000000000533
500,38,197.86868860721586,45.0,68,0.6301000000000555
500,39,197.10706995725627,0.0,0,0.6101000000000577
500,40,197.9547396302224,41.0,77,0.63110000000006
500,41,197.80253367424004,44.0,69,0.6551000000000622
500,42,197.23956961631777,41.0,74,0.6761000000000644
500,43,197.27953706979753,45.0,71,0.7011000000000667
500,44,197.13401421308518,43.0,73,0.7241000000000689
500,45,197.7028236269951,0.0,0,0.7041000000000711
500,46,197.86054198741905,3.0,27,0.6871000000000733
500,47,197.7553247570991,41.0,60,0.7081000000000756
500,48,197.65128440856938,43.0,79,0.7311000000000778
500,49,197.57691107988356,32.0,67,0.74310000000008
500,50,197.52270510196684,41.0,79,0.7641000000000823
500,51,197.3886965751648,43.0,64,0.7871000000000845
500,52,197.86278570890423,43.0,71,0.8101000000000868
500,53,197.59185016155243,43.0,89,0.833100000000089
500,54,197.9640951037406,43.0,74,0.8561000000000912
500,55,197.9843172073365,43.0,74,0.8791000000000935
500,56,197.50954453945155,38.0,61,0.8971000000000957
500,57,196.80438563823705,39.0,51,0.916100000000098
500,58,197.6560201883316,0.0,0,0.8961000000001001
500,59,197.56136460304256,41.0,73,0.9171000000001024
500,60,197.61610752344134,40.0,78,0.9371000000001046
500,61,197.89477806091307,28.0,62,0.9451000000001069
500,62,197.59387515783305,36.0,61,0.9611000000001091
500,63,197.26661969423301,42.0,70,0.9831000000001113
500,64,198.073906993866,39.0,82,1.0021000000001126
500,65,197.5933186888696,43.0,48,1.0251000000001107
500,66,198.20305303335192,41.0,76,1.0461000000001084
500,67,197.61243246793745,46.0,65,1.0721000000001055
500,68,197.6109894752501,43.0,59,1.095100000000103
500,69,197.60905442237848,0.0,0,1.0751000000001052
500,70,197.85950336456295,40.0,77,1.095100000000103
500,71,197.8346167564393,43.0,83,1.1181000000001005
500,72,197.135819375515,41.0,74,1.1391000000000981
500,73,197.66029698848715,39.0,77,1.158100000000096
500,74,197.58773969411857,46.0,73,1.1841000000000932
500,75,197.7147546648979,0.0,0,1.1641000000000954
500,76,197.578786122799,43.0,67,1.1871000000000929
500,77,197.72026821374897,44.0,60,1.2111000000000902
500,78,197.28017672300334,40.0,86,1.231100000000088
500,79,197.61283555030826,46.0,75,1.2571000000000851
500,80,197.70093746185307,0.0,0,1.2371000000000874
500,81,197.61960898637773,45.0,62,1.2621000000000846
500,82,197.31144119501113,44.0,60,1.286100000000082
500,83,198.07605658769606,43.0,71,1.3091000000000794
500,84,197.84842627048485,42.0,65,1.331100000000077
500,85,197.13151149749748,44.0,81,1.3551000000000744
500,86,197.9331924796104,44.0,69,1.3791000000000717
500,87,197.28192688226702,43.0,69,1.4021000000000692
500,88,197.44621915817265,27.0,51,1.4091000000000684
500,89,197.69499994516377,44.0,72,1.4331000000000658
500,90,197.41568599939345,43.0,74,1.4561000000000632
500,91,197.93657510280613,44.0,86,1.4801000000000606
500,92,197.94970344305037,39.0,56,1.4991000000000585
500,93,197.60782235860827,43.0,94,1.522100000000056
500,94,197.5266491651535,38.0,83,1.540100000000054
500,95,197.42946071624746,34.0,55,1.5541000000000524
